timestamp, memory.used [MiB]
2026/05/29 03:52:18.505, 2837 MiB
2026/05/29 03:52:19.505, 2837 MiB
2026/05/29 03:52:20.506, 2837 MiB
2026/05/29 03:52:21.507, 2849 MiB
2026/05/29 03:52:22.507, 2849 MiB
2026/05/29 03:52:23.508, 2849 MiB
2026/05/29 03:52:24.508, 2840 MiB
2026/05/29 03:52:25.508, 2840 MiB
2026/05/29 03:52:26.509, 2844 MiB
2026/05/29 03:52:27.509, 2844 MiB
2026/05/29 03:52:28.509, 2844 MiB
2026/05/29 03:52:29.510, 2844 MiB
2026/05/29 03:52:30.510, 2840 MiB
2026/05/29 03:52:31.510, 2844 MiB
2026/05/29 03:52:32.511, 2844 MiB
2026/05/29 03:52:33.511, 2844 MiB
2026/05/29 03:52:34.512, 2844 MiB
2026/05/29 03:52:35.513, 2840 MiB
2026/05/29 03:52:36.513, 2844 MiB
2026/05/29 03:52:37.514, 2844 MiB
2026/05/29 03:52:38.514, 2844 MiB
2026/05/29 03:52:39.514, 2844 MiB
2026/05/29 03:52:40.515, 2840 MiB
2026/05/29 03:52:41.515, 2844 MiB
2026/05/29 03:52:42.515, 2844 MiB
2026/05/29 03:52:43.516, 2844 MiB
2026/05/29 03:52:44.516, 6504 MiB
2026/05/29 03:52:45.516, 9160 MiB
2026/05/29 03:52:46.516, 2864 MiB
2026/05/29 03:52:47.517, 2864 MiB
2026/05/29 03:52:48.517, 2864 MiB
2026/05/29 03:52:49.517, 2864 MiB
2026/05/29 03:52:50.518, 2860 MiB
2026/05/29 03:52:51.518, 2864 MiB
2026/05/29 03:52:52.518, 2864 MiB
2026/05/29 03:52:53.519, 2864 MiB
2026/05/29 03:52:54.519, 2864 MiB
2026/05/29 03:52:55.519, 2860 MiB
2026/05/29 03:52:56.520, 2864 MiB
2026/05/29 03:52:57.520, 2864 MiB
2026/05/29 03:52:58.520, 2864 MiB
2026/05/29 03:52:59.521, 2864 MiB
2026/05/29 03:53:00.521, 2860 MiB
2026/05/29 03:53:01.522, 2864 MiB
2026/05/29 03:53:02.523, 2864 MiB
2026/05/29 03:53:03.523, 2864 MiB
2026/05/29 03:53:04.523, 2864 MiB
2026/05/29 03:53:05.525, 2860 MiB
2026/05/29 03:53:06.526, 2860 MiB
2026/05/29 03:53:07.527, 2864 MiB
2026/05/29 03:53:08.528, 2864 MiB
2026/05/29 03:53:09.528, 2864 MiB
2026/05/29 03:53:10.529, 2860 MiB
2026/05/29 03:53:11.529, 2860 MiB
2026/05/29 03:53:12.529, 2864 MiB
2026/05/29 03:53:13.529, 2864 MiB
2026/05/29 03:53:14.530, 2864 MiB
2026/05/29 03:53:15.530, 2860 MiB
2026/05/29 03:53:16.530, 2860 MiB
2026/05/29 03:53:17.531, 2864 MiB
2026/05/29 03:53:18.531, 2864 MiB
2026/05/29 03:53:19.532, 2864 MiB
